QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Team,Year
18997000.0,2236171.0,13750952.0,12684653.0,6307577.0,53976353.0,5661793.0,17312549.0,15426110.0,17920176.0,20642727.0,76963355.0,Seahawks,2016
18617300.0,4961190.0,5224319.0,5726719.0,19176356.0,53705884.0,5140464.0,9660901.0,9598215.0,16579686.0,4828050.0,45807316.0,Saints,2016
2261161.0,7652724.0,24631438.0,4002548.0,14289846.0,52837717.0,14874328.0,22787306.0,6341732.0,11486444.0,22329018.0,77818828.0,Broncos,2016
11022385.0,2873269.0,8060225.0,3663632.0,20849784.0,46469295.0,11120534.0,1500998.0,6626100.0,2503713.0,23427666.0,45179011.0,Browns,2016
21004781.0,13113454.0,17778997.0,3945253.0,39055012.0,94897497.0,15833947.0,8183830.0,6906583.0,12475138.0,11466541.0,54866039.0,Steelers,2017
17066663.0,3913937.0,21228435.0,8513978.0,43010782.0,93733795.0,4925768.0,16020328.0,3913692.0,11365174.0,22873492.0,59098454.0,Raiders,2017
27422800.0,5928217.0,28103286.0,4019531.0,25953036.0,91426870.0,11309437.0,18256298.0,8512929.0,6556132.0,15535401.0,60170197.0,Falcons,2017
27543600.0,4474359.0,10894949.0,11840649.0,34757110.0,89510667.0,12451986.0,17002208.0,8198492.0,6606862.0,24425407.0,68684955.0,Commanders,2017
29489118.0,3666976.0,20439056.0,6097469.0,28917997.0,88610616.0,11978095.0,14486303.0,6172044.0,15728455.0,21047533.0,69412430.0,Cardinals,2017
21034437.0,2394382.0,31564129.0,3754657.0,28553585.0,87301190.0,14712089.0,26170012.0,2563395.0,11727962.0,9272758.0,64446216.0,Packers,2017
7948686.0,7712155.0,20433394.0,10106000.0,34671590.0,80871825.0,14920141.0,21800072.0,14705805.0,14776850.0,4361412.0,70564280.0,Eagles,2017
21278625.0,2385295.0,14645439.0,10633090.0,31878770.0,80821219.0,14795376.0,16993112.0,11977212.0,7234912.0,17788027.0,68788639.0,Bears,2017
22710632.0,11316345.0,7593965.0,15861068.0,22836833.0,80318843.0,19975799.0,14930437.0,27237850.0,7693071.0,6607630.0,76444787.0,Panthers,2017
20365000.0,6649958.0,7172234.0,13281931.0,32749192.0,80218315.0,7351727.0,15826140.0,11368168.0,9465615.0,5035764.0,49047414.0,Saints,2017
14476471.0,11010522.0,18838336.0,12917262.0,22196744.0,79439335.0,10484357.0,5229052.0,13278110.0,23735041.0,16603309.0,69329869.0,Patriots,2017
33058282.0,3310080.0,9776316.0,9519411.0,22688764.0,78352853.0,21338272.0,20091185.0,11883805.0,11301524.0,5758889.0,70373675.0,Dolphins,2017
26742000.0,5270289.0,16212624.0,5393387.0,23346656.0,76964956.0,8142163.0,11289373.0,5332555.0,12619611.0,15031988.0,52415690.0,Ravens,2017
1782314.0,7879602.0,26062634.0,16565097.0,23737956.0,76027603.0,4846639.0,17309055.0,13571954.0,3098994.0,10844663.0,49671305.0,Cowboys,2017
16798413.0,7569296.0,24430688.0,9413806.0,17247941.0,75460144.0,12361126.0,14384255.0,17613896.0,10969118.0,22900422.0,78228817.0,Bengals,2017
19155000.0,5059879.0,20577484.0,8986982.0,21498674.0,75278019.0,17068671.0,23167189.0,5864393.0,6553828.0,9329846.0,61983927.0,Chargers,2017
